id	url	match_date_title	team_1	team_2	total_score	shoots_in_target_1	shoots_in_target_2	falls_1	falls_2	corners_1	corners_2	off_side_1	off_side_2	possession_1	possession_2	free_kicks_1	free_kicks_2	shots_from_gate_1	shots_from_gate_2	blocked_shots_1	blocked_shots_2	outs_1	outs_2	yellow_cards_1	yellow_cards_2	red_cards_1	red_cards_2
1103261	https://www.championat.com/football/_england/tournament/5467/match/1103261/	23 октября 2023, понедельник. 22:00 МСК	Тоттенхэм Хотспур	Фулхэм	2 : 0	15	10	10	14	3	5	4	6	56	44	20	14	4	10	6	3	18	22	2	0	0	0
1102945	https://www.championat.com/football/_england/tournament/5467/match/1102945/	17 февраля 2024, суббота. 18:00 МСК	Тоттенхэм Хотспур	Вулверхэмптон	1 : 2	14	14	8	13	10	4	1	2	71	29	15	9	8	11	4	1	20	11	0	1	0	0
1103339	https://www.championat.com/football/_england/tournament/5467/match/1103339/	24 сентября 2023, воскресенье. 16:00 МСК	Челси	Астон Вилла	0 : 1	10	15	9	11	5	11	10	1	54	46	12	19	4	6	4	5	17	15	2	3	1	0
1103073	https://www.championat.com/football/_england/tournament/5467/match/1103073/	27 декабря 2023, среда. 22:30 МСК	Челси	Кристал Пэлас	2 : 1	9	13	13	16	4	3	3	6	65	35	22	16	6	4	2	5	18	16	3	2	0	0
1103393	https://www.championat.com/football/_england/tournament/5467/match/1103393/	25 августа 2023, пятница. 22:00 МСК	Челси	Лутон Таун	3 : 0	19	11	15	12	6	4	0	0	68	32	12	15	10	8	5	5	13	10	2	3	0	0
1103173	https://www.championat.com/football/_england/tournament/5467/match/1103173/	03 декабря 2023, воскресенье. 17:00 МСК	Челси	Брайтон энд Хоув Альбион	3 : 2	8	17	17	11	5	8	2	3	32	68	14	19	10	4	0	4	8	18	4	5	1	0
1102691	https://www.championat.com/football/_england/tournament/5467/match/1102691/	19 мая 2024, воскресенье. 18:00 МСК	Челси	Борнмут	2 : 1	16	22	5	9	6	5	0	1	61	39	10	5	14	4	6	4	17	19	2	3	0	0
1102883	https://www.championat.com/football/_england/tournament/5467/match/1102883/	11 марта 2024, понедельник. 23:00 МСК	Челси	Ньюкасл Юнайтед	3 : 2	12	11	12	7	0	4	2	2	45	55	9	14	10	3	0	3	16	33	3	1	0	0
1103385	https://www.championat.com/football/_england/tournament/5467/match/1103385/	27 августа 2023, воскресенье. 18:30 МСК	Ньюкасл Юнайтед	Ливерпуль	1 : 2	23	9	16	10	5	9	0	1	57	43	11	16	6	14	4	2	12	20	1	2	0	1
1103201	https://www.championat.com/football/_england/tournament/5467/match/1103201/	25 ноября 2023, суббота. 18:00 МСК	Ньюкасл Юнайтед	Челси	4 : 1	14	7	13	19	4	2	0	0	53	47	19	13	5	8	5	0	13	5	4	5	0	1
1102855	https://www.championat.com/football/_england/tournament/5467/match/1102855/	30 марта 2024, суббота. 18:00 МСК	Челси	Бёрнли	2 : 2	33	18	12	7	12	4	3	0	69	31	7	15	7	12	10	5	15	10	2	3	0	1
1102843	https://www.championat.com/football/_england/tournament/5467/match/1102843/	30 марта 2024, суббота. 15:30 МСК	Ньюкасл Юнайтед	Вест Хэм Юнайтед	4 : 3	24	10	9	7	3	4	1	2	60	40	9	10	8	15	8	2	15	15	2	1	1	0
1103271	https://www.championat.com/football/_england/tournament/5467/match/1103271/	21 октября 2023, суббота. 17:00 МСК	Ньюкасл Юнайтед	Кристал Пэлас	4 : 0	10	14	7	12	6	8	0	1	60	40	13	7	9	6	0	4	13	17	2	3	0	0
1103033	https://www.championat.com/football/_england/tournament/5467/match/1103033/	13 января 2024, суббота. 15:30 МСК	Челси	Фулхэм	1 : 0	17	14	13	9	6	4	4	0	57	43	9	17	5	8	5	4	18	24	5	1	0	0
1102993	https://www.championat.com/football/_england/tournament/5467/match/1102993/	04 февраля 2024, воскресенье. 17:00 МСК	Челси	Вулверхэмптон	2 : 4	15	14	15	11	10	1	3	0	64	36	11	18	4	11	3	3	23	18	3	2	0	0
1103235	https://www.championat.com/football/_england/tournament/5467/match/1103235/	04 ноября 2023, суббота. 20:30 МСК	Ньюкасл Юнайтед	Арсенал	1 : 0	9	14	14	9	0	11	2	1	40	60	10	16	11	6	4	8	20	12	5	1	0	0
